Virus	Length	Genes	Viral_Genes	Host_Genes	Provirus	Group	Hallmark_Genes	Viral_Family	Vibrant	Host_MAG	Host_Class
D1_3091818||	199730	279	16	26	No	dsDNAphage	10	Unknown	Yes	00005-contigs	Bacteroidia
D3_3446768||	193791	211	44	11	No	dsDNAphage	18	Myoviridae	Yes	00072-contigs	Alphaproteobacteria
D3_3389742||	191931	234	27	10	No	dsDNAphage	9	Unknown	Yes	00060-contigs	Verrucomicrobiae
D3_5126860||	171228	193	9	2	No	dsDNAphage	3	Unknown	Yes	00064-contigs	Cyanobacteriia
D3_3136900||	163473	251	86	4	No	dsDNAphage	27	Unknown	Yes	00036-contigs	Gammaproteobacteria
D2_2306930||	160811	166	24	13	No	dsDNAphage	4	Myoviridae	Yes	00005-contigs	Bacteroidia
D3_5186964||	157929	160	23	13	No	dsDNAphage	4	Myoviridae	Yes	00059-contigs	Alphaproteobacteria
D4_6143872||	154554	229	94	2	No	dsDNAphage	30	Unknown	Yes	None	None
D4_3704321||	153311	209	11	7	No	dsDNAphage	3	Unknown	Yes	00032-contigs	Cyanobacteriia
D4_6143959||	139242	153	22	1	No	dsDNAphage	12	Unknown	Yes	None	None
D4_5609477||	126121	183	20	5	No	dsDNAphage	2	Unknown	Yes	00045-contigs	Gammaproteobacteria
D1_4862968||	123660	134	3	27	Yes	dsDNAphage	6	Unknown	Yes	00009-contigs	Bacteroidia
D2_1039048||	120614	133	3	28	Yes	dsDNAphage	6	Unknown	Yes	00004-contigs	Bacteroidia
D3_6542707||	120614	133	3	28	Yes	dsDNAphage	6	Unknown	Yes	00005-contigs	Bacteroidia
D4_4274681||	120614	133	3	28	Yes	dsDNAphage	6	Unknown	Yes	00003-contigs	Bacteroidia
D1_738061||	120224	117	14	7	No	dsDNAphage	3	Podoviridae	Yes	00014-contigs	Cyanobacteriia
D3_1377050||	119445	134	27	1	No	dsDNAphage	8	Unknown	Yes	None	None
D3_291715||	115188	109	8	2	No	dsDNAphage	1	Unknown	Yes	None	None
D3_587793||	110112	161	18	2	No	dsDNAphage	3	Unknown	Yes	00015-contigs	Gammaproteobacteria
D2_6025581||	110083	136	10	13	No	dsDNAphage	8	Myoviridae	Yes	None	None
D2_986326||	109759	155	22	4	No	dsDNAphage	18	Siphoviridae	Yes	None	None
D2_743841||	107043	117	16	4	No	dsDNAphage	10	Myoviridae	Yes	None	None
D4_1039119||	101511	147	23	1	No	dsDNAphage	10	Unknown	Yes	00032-contigs	Cyanobacteriia
D2_7400398||	94663	148	28	4	No	dsDNAphage	12	Unknown	Yes	00054-contigs	Bacteroidia
D3_7113283||	93172	122	23	4	No	dsDNAphage	9	Siphoviridae	Yes	00011-contigs	Bacteroidia
D4_3588467||	92942	104	13	9	No	dsDNAphage	3	Unknown	Yes	00002-contigs	Bacteroidia
D4_1545246||	90015	105	42	1	No	dsDNAphage	26	Unknown	Yes	00022-contigs	Bacteroidia
